Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018
Ghana,GHA,"Population, total",SP.POP.TOTL,28481946,29121471,29767108
Gibraltar,GIB,"Population, total",SP.POP.TOTL,33737,33728,33718
Guinea,GIN,"Population, total",SP.POP.TOTL,11738441,12067539,12414318
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2149139,2213894,2280102
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1782437,1828146,1874309
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1215179,1262001,1308974
Greece,GRC,"Population, total",SP.POP.TOTL,10775971,10754679,10727668
Grenada,GRD,"Population, total",SP.POP.TOTL,110261,110874,111454
Greenland,GRL,"Population, total",SP.POP.TOTL,56186,56171,56025
Guatemala,GTM,"Population, total",SP.POP.TOTL,16583060,16914936,17247807
Guam,GUM,"Population, total",SP.POP.TOTL,162951,164281,165768
Guyana,GUY,"Population, total",SP.POP.TOTL,771366,775221,779004
High income,HIC,"Population, total",SP.POP.TOTL,1198350350,1204429565,1210312147
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7336600,7391700,7451000
Honduras,HND,"Population, total",SP.POP.TOTL,9270795,9429013,9587522
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,738387254,759106221,780234406
Croatia,HRV,"Population, total",SP.POP.TOTL,4174349,4124531,4089400
Haiti,HTI,"Population, total",SP.POP.TOTL,10839970,10982366,11123176
Hungary,HUN,"Population, total",SP.POP.TOTL,9814023,9787966,9768785
IBRD only,IBD,"Population, total",SP.POP.TOTL,4687686335,4731120193,4772284113
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6256138021,6335039629,6412522234
IDA total,IDA,"Population, total",SP.POP.TOTL,1568451686,1603919436,1640238121
IDA blend,IDB,"Population, total",SP.POP.TOTL,531399044,543525897,555830605
Indonesia,IDN,"Population, total",SP.POP.TOTL,261554226,264645886,267663435
IDA only,IDX,"Population, total",SP.POP.TOTL,1037052642,1060393539,1084407516
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83287,83598,84077
India,IND,"Population, total",SP.POP.TOTL,1324509589,1338658835,1352617328
Not classified,INX,"Population, total",SP.POP.TOTL,,,
Ireland,IRL,"Population, total",SP.POP.TOTL,4755335,4807388,4853506
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,79564016,80673951,81800269
Iraq,IRQ,"Population, total",SP.POP.TOTL,36610632,37552781,38433600
Iceland,ISL,"Population, total",SP.POP.TOTL,335439,343400,353574
Israel,ISR,"Population, total",SP.POP.TOTL,8546000,8713300,8883800
Italy,ITA,"Population, total",SP.POP.TOTL,60627498,60536709,60431283
Jamaica,JAM,"Population, total",SP.POP.TOTL,2906238,2920853,2934855
Jordan,JOR,"Population, total",SP.POP.TOTL,9551467,9779173,9956011
Japan,JPN,"Population, total",SP.POP.TOTL,126994511,126785797,126529100
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,17794055,18037776,18276499
Kenya,KEN,"Population, total",SP.POP.TOTL,49051686,50221473,51393010
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6079500,6198200,6315800
Cambodia,KHM,"Population, total",SP.POP.TOTL,15766293,16009414,16249798
Kiribati,KIR,"Population, total",SP.POP.TOTL,112524,114158,115847
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,51625,52045,52441
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51245707,51466201,51635256
Kuwait,KWT,"Population, total",SP.POP.TOTL,3956873,4056097,4137309
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,597399287,603254104,609013934
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6845846,6953035,7061507
Lebanon,LBN,"Population, total",SP.POP.TOTL,6711121,6811873,6848925
Liberia,LBR,"Population, total",SP.POP.TOTL,4586788,4702228,4818977
Libya,LBY,"Population, total",SP.POP.TOTL,6492164,6580724,6678567
St. Lucia,LCA,"Population, total",SP.POP.TOTL,180024,180955,181889
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,629240066,635372515,641357515
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,963511276,986365080,1009662578
Low income,LIC,"Population, total",SP.POP.TOTL,670117389,687449530,705417321
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,37658,37800,37910
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21203000,21444000,21670000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2939830821,2981420591,3022905169
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6227752871,6306560891,6383958209
Lesotho,LSO,"Population, total",SP.POP.TOTL,2075001,2091412,2108132
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2262158994,2276319334,2288665963
Lithuania,LTU,"Population, total",SP.POP.TOTL,2868231,2828403,2789533
Luxembourg,LUX,"Population, total",SP.POP.TOTL,582014,596336,607728
Latvia,LVA,"Population, total",SP.POP.TOTL,1959537,1942248,1926542
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,612836,622585,631636
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,36065,36560,37264
Morocco,MAR,"Population, total",SP.POP.TOTL,35126296,35581294,36029138
Monaco,MCO,"Population, total",SP.POP.TOTL,38070,38392,38682
Moldova,MDA,"Population, total",SP.POP.TOTL,3551954,3549196,3545883
Madagascar,MDG,"Population, total",SP.POP.TOTL,24894380,25570540,26262368
Maldives,MDV,"Population, total",SP.POP.TOTL,475513,496402,515696
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,433597626,441255234,448912859
Mexico,MEX,"Population, total",SP.POP.TOTL,123333376,124777324,126190788
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,57735,58058,58413
Middle income,MIC,"Population, total",SP.POP.TOTL,5557635482,5619111361,5678540888
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2080745,2081996,2082958
Mali,MLI,"Population, total",SP.POP.TOTL,17965429,18512394,19077690
Malta,MLT,"Population, total",SP.POP.TOTL,455356,467999,483530
Myanmar,MMR,"Population, total",SP.POP.TOTL,53045226,53382581,53708395
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,370276461,376546755,382896715
Montenegro,MNE,"Population, total",SP.POP.TOTL,622303,622373,622345
Mongolia,MNG,"Population, total",SP.POP.TOTL,3056359,3113779,3170208
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,56188,56562,56882
Mozambique,MOZ,"Population, total",SP.POP.TOTL,27829942,28649007,29495962
Mauritania,MRT,"Population, total",SP.POP.TOTL,4163534,4282574,4403319
Mauritius,MUS,"Population, total",SP.POP.TOTL,1263473,1264613,1265303
Malawi,MWI,"Population, total",SP.POP.TOTL,17205289,17670260,18143315
Malaysia,MYS,"Population, total",SP.POP.TOTL,30684804,31105028,31528585
North America,NAC,"Population, total",SP.POP.TOTL,359245384,361751263,364290258
Namibia,NAM,"Population, total",SP.POP.TOTL,2358041,2402603,2448255
New Caledonia,NCL,"Population, total",SP.POP.TOTL,276550,280350,284060
Niger,NER,"Population, total",SP.POP.TOTL,20788838,21602472,22442948
Nigeria,NGA,"Population, total",SP.POP.TOTL,185960289,190873311,195874740
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6303974,6384855,6465513
Netherlands,NLD,"Population, total",SP.POP.TOTL,17030314,17131296,17231017
Norway,NOR,"Population, total",SP.POP.TOTL,5234519,5276968,5314336
Nepal,NPL,"Population, total",SP.POP.TOTL,27261131,27627124,28087871
Nauru,NRU,"Population, total",SP.POP.TOTL,13049,12876,12704
New Zealand,NZL,"Population, total",SP.POP.TOTL,4693200,4793900,4885500
OECD members,OED,"Population, total",SP.POP.TOTL,1288747101,1296225760,1303529456
Oman,OMN,"Population, total",SP.POP.TOTL,4479219,4665935,4829483
Other small states,OSS,"Population, total",SP.POP.TOTL,29542879,30148800,30758989
Pakistan,PAK,"Population, total",SP.POP.TOTL,203627284,207896686,212215030
Panama,PAN,"Population, total",SP.POP.TOTL,4037078,4106771,4176873
Peru,PER,"Population, total",SP.POP.TOTL,30926032,31444297,31989256
Philippines,PHL,"Population, total",SP.POP.TOTL,103663927,105173264,106651922
Palau,PLW,"Population, total",SP.POP.TOTL,17725,17808,17907
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8271760,8438029,8606316
Poland,POL,"Population, total",SP.POP.TOTL,37970087,37974826,37978548
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,869943914,894512725,919485393
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3406495,3325001,3195153
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,25307744,25429985,25549819
Portugal,PRT,"Population, total",SP.POP.TOTL,10325452,10300300,10281762
Paraguay,PRY,"Population, total",SP.POP.TOTL,6777872,6867062,6956071
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4367088,4454805,4569087
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2388307,2422086,2457367
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1101992071,1106035186,1109997273
French Polynesia,PYF,"Population, total",SP.POP.TOTL,274575,276103,277679
Qatar,QAT,"Population, total",SP.POP.TOTL,2654374,2724724,2781677
Romania,ROU,"Population, total",SP.POP.TOTL,19702332,19587491,19473936
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144342396,144496740,144478050
Rwanda,RWA,"Population, total",SP.POP.TOTL,11668818,11980937,12301939
South Asia,SAS,"Population, total",SP.POP.TOTL,1771167194,1792835608,1814388744
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,32442572,33099147,33699947
Sudan,SDN,"Population, total",SP.POP.TOTL,39847440,40813396,41801533
Senegal,SEN,"Population, total",SP.POP.TOTL,14993528,15419381,15854360
Singapore,SGP,"Population, total",SP.POP.TOTL,5607283,5612253,5638676
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,619437,636038,652858
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7328838,7488431,7650154
El Salvador,SLV,"Population, total",SP.POP.TOTL,6356143,6388122,6420744
San Marino,SMR,"Population, total",SP.POP.TOTL,33504,33671,33785
Somalia,SOM,"Population, total",SP.POP.TOTL,14185613,14589119,15008154
Serbia,SRB,"Population, total",SP.POP.TOTL,7058322,7020858,6982084
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1022431864,1050057829,1078209758
South Sudan,SSD,"Population, total",SP.POP.TOTL,10832512,10910759,10975920
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1022526541,1050153672,1078306520
Small states,SST,"Population, total",SP.POP.TOTL,39200572,39885876,40575321
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,203227,207089,211028
Suriname,SUR,"Population, total",SP.POP.TOTL,564888,570496,575991
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5430798,5439232,5447011
Slovenia,SVN,"Population, total",SP.POP.TOTL,2065042,2066388,2067372
Sweden,SWE,"Population, total",SP.POP.TOTL,9923085,10057698,10183175
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1113984,1124753,1136191
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,39969,40574,40654
Seychelles,SYC,"Population, total",SP.POP.TOTL,94677,95843,96762
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,17453933,17068002,16906283
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,36559,37115,37665
Chad,TCD,"Population, total",SP.POP.TOTL,14561666,15016773,15477751
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2027771091,2042687863,2056064424
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,455505650,457810292,459865205
Togo,TGO,"Population, total",SP.POP.TOTL,7509952,7698475,7889094
Thailand,THA,"Population, total",SP.POP.TOTL,68971331,69209858,69428524
Tajikistan,TJK,"Population, total",SP.POP.TOTL,8663579,8880268,9100837
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5662372,5757669,5850908
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,613258172,619460244,625569713
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1219288,1243261,1267972
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,365909373,372091950,378327628
Tonga,TON,"Population, total",SP.POP.TOTL,101133,101998,103197
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1771167194,1792835608,1814388744
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1022526541,1050153672,1078306520
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1377564,1384072,1389858
Tunisia,TUN,"Population, total",SP.POP.TOTL,11303946,11433443,11565204
Turkey,TUR,"Population, total",SP.POP.TOTL,79821724,81101892,82319724
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11225,11370,11508
Tanzania,TZA,"Population, total",SP.POP.TOTL,53050790,54663906,56318348
Uganda,UGA,"Population, total",SP.POP.TOTL,39647506,41162465,42723139
Ukraine,UKR,"Population, total",SP.POP.TOTL,45004645,44831135,44622516
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2617804661,2637690770,2655635719
Uruguay,URY,"Population, total",SP.POP.TOTL,3424132,3436646,3449299
United States,USA,"Population, total",SP.POP.TOTL,323071342,325147121,327167434
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,31847900,32388600,32955400
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,109459,109827,110210
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,29846179,29390409,28870195
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29355,29577,29802
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,107510,107268,106977
Vietnam,VNM,"Population, total",SP.POP.TOTL,93638724,94596642,95540395
Vanuatu,VUT,"Population, total",SP.POP.TOTL,278330,285510,292680
World,WLD,"Population, total",SP.POP.TOTL,7426103221,7510990456,7594270356
Samoa,WSM,"Population, total",SP.POP.TOTL,194535,195352,196130
Kosovo,XKX,"Population, total",SP.POP.TOTL,1816200,1830700,1845300
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,27168210,27834821,28498687
South Africa,ZAF,"Population, total",SP.POP.TOTL,56203654,57000451,57779622
Zambia,ZMB,"Population, total",SP.POP.TOTL,16363507,16853688,17351822
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14030390,14236745,14439018
