Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.85365854,81.00487805
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.861,74.048
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.078,76.293
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.48792235,74.64356348
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.74060337,69.97443658
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.39681007,75.55201893
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.86159915,73.17862544
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.49826581,77.64421915
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.327,76.551
Egypt,EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.484,71.661
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.9459125,81.95072351
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.092,65.536
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.32926829,83.32926829
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.64146341,77.64146341
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.475,65.874
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.97469383,80.99115121
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.59376065,62.90637894
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.42926829,81.42926829
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.269,70.417
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.52439024,82.52439024
Faroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.19756098,82.4
Federated States of Micronesia,FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.195,69.316
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.105,66.48
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.15609756,81.15609756
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.261,73.436
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.742,63.033
Gibraltar,GIB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.015,60.617
Gambia,GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.193,61.424
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.403,57.805
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.681,57.939
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.38780488,81.38780488
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.659,73.78
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.409,73.654
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.575,79.763
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.65,66.766
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.62680022,80.68439957
Hong Kong (SAR of China),HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.22682927,84.6804878
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.575,73.774
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.08115626,62.47392059
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.02195122,77.82682927
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.33,63.589
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.06341463,76.06341463
IBRD only,IBD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.7645258,72.96694105
IDA & IBRD total,IBT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.47231314,70.67965585
IDA total,IDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.62100481,63.93232032
IDA blend,IDB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.77647096,62.04811278
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.191,69.355
IDA only,IDX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.56610357,64.8980448
Isle of Man,IMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.56,68.803
Not classified,INX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.70487805,81.95609756
Iran,IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.953,76.153
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.862,70.038
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.20487805,82.20487805
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.40731707,82.60243902
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.24390244,83.24390244
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.97,76.097
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.329,74.476
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.98487805,84.0997561
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.3,72.95
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.032,67.291
Kyrgyzstan,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.95121951,71.2
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.981,69.331
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.317,66.506
St Kitts & Nevis,KNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,
Republic of Korea,KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.27560976,82.62682927
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.694,74.811
Latin America & Caribbean (excluding high income),LAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.36874596,75.57025443
Laos,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.683,67.021
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.584,79.758
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.505,63.006
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.934,72.11
St Lucia,LCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.496,75.696
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.5332703,75.73420788
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.42160278,64.75237624
Low income,LIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.86877505,63.24892343
Liechtenstein,LIE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.25853659,82.25853659
Sri Lanka,LKA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.284,75.485
Lower middle income,LMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.76482173,67.98994347
Low & middle income,LMY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.41077335,70.62000811
Lesotho,LSO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.174,54.568
Late-demographic dividend,LTE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.73400208,75.92407033
Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.67073171,74.67073171
Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.68536585,82.68536585
Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.5804878,74.6804878
Macau (SAR of China),MAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.849,83.991
St Martin (French part),MAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.62195122,79.72195122
Morocco,MAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.821,76.059
Monaco,MCO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,
Moldova,MDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.61,71.718
Madagascar,MDG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.932,66.312
Maldives,MDV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.339,77.649
Middle East & North Africa,MEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.52487075,73.72989973
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.118,77.305
Marshall Islands,MHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,
Middle income,MIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.32019146,71.52182998
FYR Macedonia,MKD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.703,75.851
Mali,MLI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.966,58.456
Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.45365854,82.45365854
Myanmar,MMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.612,66.744
Middle East & North Africa (excluding high income),MNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.02249465,73.23215988
Montenegro,MNE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.116,77.271
Mongolia,MNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.287,69.465
Northern Mariana Islands,MNP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,
Mozambique,MOZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.311,58.872
Mauritania,MRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.238,63.384
Mauritius,MUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.39487805,74.51463415
Malawi,MWI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.223,63.671
Malaysia,MYS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.3,75.452
North America,NAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.91759271,78.93665161
Namibia,NAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.388,64.85
New Caledonia,NCL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.96150074,77.14878049
Niger,NER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.058,60.422
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.428,53.875
Nicaragua,NIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.404,75.653
Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.56097561,81.56097561
Norway,NOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.40731707,82.5097561
Nepal,NPL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.253,70.604
Nauru,NRU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,
New Zealand,NZL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.61243902,81.65853659
OECD members,OED,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.22956179,80.29709581
Oman,OMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.029,77.258
Other small states,OSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.87676386,68.17582661
Pakistan,PAK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.481,66.629
Panama,PAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.001,78.195
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.983,75.22
Philippines,PHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.094,69.238
Palau,PLW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,
Papua New Guinea,PNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.544,65.705
